username,url,content,likes,comment,video,date
,https://www.instagram.com/p/CfNEyyVJX0A/,#rassemblement #conscious #militants #guerriers #mornelarcher #diamant #brigitte #kjm,0,0,False,2022-06-24 22:10:42+00:00
,https://www.instagram.com/p/CfMSRbHoy6i/,"#SAS #travelsecurity #securityservices #Somalia

#Al-Shabaab #militants on rampage #lecture #passengers for hours in #Mandera

Al-Shabaab terrorists on the rampage stopped a bus and a taxi and lectured passengers on board while searching for non-locals in Mandera County.

The incident happened in Dabacity area, Kutulo, which is near the Kenya-Somalia border on Thursday. It happened Lag Barich area between Dabacity Town and Dimu Hill.

The bus was ferrying passengers from Nairobi to Mandera when the heavily armed men stopped it.

https://www.the-star.co.ke/news/2022-06-24-al-shabaab-militants-on-rampage-lecture-passengers-for-hours-in-mandera/

#Investigations #Intelligence #Securityservices #Executiveprotection #Securitymanagement #Travelrisk #Travelsecurity #Riskanalysis #Securitylogistic

For info:
S.A.S. Investigation
Phone: +39 0463 901545
Web: www.sasinvestigation.com
Mail. info@sasinvestigation.com",1,0,False,2022-06-24 14:49:14+00:00
,https://www.instagram.com/p/CfLf-VKDxUc/,"A MEND (Movement for the Emancipation of the Niger Delta) militant painted in symbols meant to protect him from bullets.

#nigerdelta #nigerian #militants #war #guns #conflictphotography #waraesthetics",123,3,False,2022-06-24 07:29:44+00:00
,https://www.instagram.com/p/CfK9wvqt7wY/,">> 🇧🇷 Swipe for translation 🇺🇸 >>>

#Solzhenitsyn #AleksandrSolzhenitsyn #AlexanderSolzhenitsyn #Communism #Socialism #Leftism #Freedom #FightForFreedom #Power #EvilPower #Evil #EvilDeeds #Destruction #Terror #Greed #Cruelty #Violence #Hate #Hostility #Oppression #Struggle #Consequences #Militants #Radicalism #Politics #Protest #FreeSpeech #FightForFreeSpeech #Scale",0,0,False,2022-06-24 02:30:46+00:00
,https://www.instagram.com/p/CfK9htatzT9/,#Solzhenitsyn #AleksandrSolzhenitsyn #AlexanderSolzhenitsyn #NoCommunism #NoSocialism #SayNoToTheLeft #Communism #Socialism #Leftism #Freedom #FightForFreedom #Power #EvilPower #Evil #EvilDeeds #Destruction #TRUTH #Insight #Mistake  #Comfortable #Hate #Hostility #Oppression #Struggle #Consequences #Militants #Politics  #FreeSpeech #FightForFreeSpeech,0,0,False,2022-06-24 02:28:43+00:00
,https://www.instagram.com/p/CfK9dYNN1N4/,#Solzhenitsyn #AleksandrSolzhenitsyn #AlexanderSolzhenitsyn #NoCommunism #NoSocialism #SayNoToTheLeft #Communism #Socialism #Leftism #Freedom #FightForFreedom #Power #EvilPower #Evil #EvilDeeds #Destruction #TRUTH #Insight #Mistake  #Comfortable #Hate #Hostility #Oppression #Struggle #Consequences #Militants #Politics  #FreeSpeech #FightForFreeSpeech,2,0,False,2022-06-24 02:28:08+00:00
,https://www.instagram.com/p/CfHwUQ7lyYK/,"💢 Des militants écologistes se collent les mains à la route et bloquent la circulation à Boulogne-Billancourt.

📍 Vidéo du 20 juin 2022 

#Militants
#Circulation 
#Écologie 
#france
#société

Rejoignez le reporter indépendant 
https://t.me/lereporterindependant",5,0,True,2022-06-22 20:36:23+00:00
,https://www.instagram.com/p/CfG-7nxM1GX/,"C’est une histoire dans l’Histoire, au passé et au présent, et peut-être au futur… j’espère qu’elle en intéressera quelques un.es… je présenterai le livre pour la première fois en public mardi 28 juin à 18h à la Taverne de Gutenberg (beau nom pour une librairie), à Paris… #lecture #livre #militants",12,4,False,2022-06-22 13:24:02+00:00
,https://www.instagram.com/p/CfG4SDjIzGU/,"#SAS #travelsecurity #securityservices #Yemen

Officials: #Militants #ambush #security post in #Yemen; eight #killed

Suspected al-Qaeda militants on Wednesday attacked a security post in a southern Yemeni province, sparking clashes that left five troops and three militants dead, officials said.

The early morning attack took place in Ataq, the capital of the mountainous province of Shabwa, the officials said. At least four other troops were wounded in the attack, said the officials, who spoke on condition of anonymity because they were not authorized to brief the press.

No group claimed responsibly for the ambush, which targeted a post manned by troops loyal to the secessionist Southern Transitional Council, they said.

https://english.alarabiya.net/News/gulf/2022/06/22/Officials-Militants-ambush-security-post-in-Yemen-eight-killed

#Investigations #Intelligence #Securityservices #Executiveprotection #Securitymanagement #Travelrisk #Travelsecurity #Riskanalysis #Securitylogistic

For info:
S.A.S. Investigation
Phone: +39 0463 901545
Web: www.sasinvestigation.com
Mail. info@sasinvestigation.com",3,0,False,2022-06-22 12:25:56+00:00
,https://www.instagram.com/p/CfGQqfso38b/,"Et maintenant, au #travail !

Une salve 👏 pour Pierre Vatin, en frôlant les 60%, il est le #député de l'#oise le mieux élu. 

Heureuse d'avoir mené auprès de lui, une #teamwork de choc au travers d'une saine campagne remplies d'#interactions : #réunionspubliques & #rencontres parfois inattendues, que j'ai terminée ce dimanche en Présidant un #bureaudevote et #dépouillement accompagnée d' #assesseurs bénévoles que je remercie, puis par un moment bucolique et simple à l'image de Pierre à sa permanence de #courtieux entourée de :
⏩ #militants anonymes et discrets engagés pour l'#intérêtgénéral, 
⏩ nombreux maires de la #circo6005,
⏩ @philippemarini.
Une campagne sans #blablabla, avec du #réel, de la #vérité, du #travaildequipe, de la #présence et des #résultats à la hauteur de nos #espérances. Une vraie récompense ! 

PIERRE UN DÉPUTÉ POUR TOUTES ET TOUS
•
•
#SeBattrePourVous #ensemble #TerritoiresdeProgres #cohesion #AvecPierreVatin #eluealecoutedetous",20,0,False,2022-06-22 06:39:45+00:00
,https://www.instagram.com/p/CfEr-VPjc3p/,"Le 11 juin dernier Zaclay accueillait Les fourberies de Grignon, une pièce de théâtre en soutien aux étudiants d'AgroParisTech en lutte contre la vente du domaine de Grignon.
La petite histoire :
Quarante ans de révolution, Louis XV règne, madame de Pompadour est sa favorite, mais déjà le peuple gronde. Il s'élève contre la vente du potager du roi, ainsi que des bâtiments et des terres qui lui sont rattachés, au bénéfice de la Cogedem, (compagnie générale de démolition). Quand le roi s'en avise, il fait mander son ministre aux affaires agricoles, le duc de Normandie, afin qu'il s'en explique. Ce dernier parviendra t-il à éviter le courroux royal ?
-
#zaclay #terresfertiles #zadfertiles #plateaudesaclay #lutte #ecologie #environnement #nonalaligne18 #chantiersparticipatifs #l18 #metro18 #artificialisationdessols #betonisation #stopbeton #mobilisation #activisme #militants #grandparisexpress #terresagricoles #theatre #grignon",54,0,False,2022-06-21 15:59:54+00:00
,https://www.instagram.com/p/CfEpohllagr/,Five #Srinagar houses attached for harboring #militants: police.,552,4,False,2022-06-21 15:39:27+00:00
